PID,Type,Module Name,Base Address,Size,Endaddress,Timestamp
10200,Benign,C:\Program Files\Common Files\microsoft shared\ink\tiptsf.dll                                                                , 0x7ffa50e00000 , 0xa0000   , 0x7ffa50ea0000 , 0xd3c4d9fe
10200,Benign,C:\Windows\System32\edputil.dll                                                                                              , 0x7ffac86e0000 , 0x28000   , 0x7ffac8708000 , 0x0930c67b
10200,Benign,C:\Windows\System32\explorerframe.dll                                                                                        , 0x7ffac6230000 , 0x2a3000  , 0x7ffac64d3000 , 0xe60abb97
10200,Benign,C:\Windows\System32\thumbcache.dll                                                                                           , 0x7ffac7670000 , 0x6a000   , 0x7ffac76da000 , 0x593956e4
10200,Benign,C:\Windows\System32\apphelp.dll                                                                                              , 0x7ffad5a50000 , 0x97000   , 0x7ffad5ae7000 , 0xdbca13b8
10200,Benign,C:\Windows\System32\NetworkExplorer.dll                                                                                      , 0x7ffab1d50000 , 0x1a000   , 0x7ffab1d6a000 , 0x2abfceda
10200,Benign,C:\Windows\System32\policymanager.dll                                                                                        , 0x7ffad2c00000 , 0xa5000   , 0x7ffad2ca5000 , 0xd5c16952
10200,Benign,C:\Windows\System32\msvcp110_win.dll                                                                                         , 0x7ffad2ac0000 , 0x93000   , 0x7ffad2b53000 , 0x3bcb53a2
10200,Benign,C:\Windows\System32\OneCoreCommonProxyStub.dll                                                                               , 0x7ffab68f0000 , 0xab000   , 0x7ffab699b000 , 0x9a96cbd2
10200,Benign,C:\Windows\System32\StructuredQuery.dll                                                                                      , 0x7ffacb170000 , 0xbb000   , 0x7ffacb22b000 , 0x1048487d
10200,Benign,C:\Windows\System32\atlthunk.dll                                                                                             , 0x7ffac4970000 , 0xe000    , 0x7ffac497e000 , 0x6edb1128
10200,Benign,C:\Windows\System32\Windows.FileExplorer.Common.dll                                                                          , 0x7ffac3d60000 , 0xa9000   , 0x7ffac3e09000 , 0xe970628d
10200,Benign,C:\Windows\System32\Windows.Storage.Search.dll                                                                               , 0x7ffac8710000 , 0xe7000   , 0x7ffac87f7000 , 0xfc877384
10200,Benign,C:\Windows\System32\linkinfo.dll                                                                                             , 0x7ffad3db0000 , 0xd000    , 0x7ffad3dbd000 , 0x3c3a82f2
10200,Benign,C:\Windows\System32\windowsudk.shellcommon.dll                                                                               , 0x7ffac0560000 , 0x526000  , 0x7ffac0a86000 , 0xcd55c78b
10200,Benign,C:\Windows\System32\userenv.dll                                                                                              , 0x7ffad7e00000 , 0x28000   , 0x7ffad7e28000 , 0x29678987
10200,Benign,C:\Windows\System32\mpr.dll                                                                                                  , 0x7ffacce60000 , 0x1e000   , 0x7ffacce7e000 , 0x63a31d27
10200,Benign,C:\Windows\System32\vmhgfs.dll                                                                                               , 0x7ffab3be0000 , 0x15000   , 0x7ffab3bf5000 , 0x619485c0
