PID,Type,VA Start,RVA,Size
10076,Benign,0x22b40467c000 , 0x837b305  , 0x4000
10076,Benign,0x22b404684000 , 0x837f305  , 0x3000
10076,Benign,0x22b404688000 , 0x8382305  , 0x10000
10076,Benign,0x22b4046c4000 , 0x8392305  , 0x4000
10076,Benign,0x22b4046cc000 , 0x8396305  , 0x1000
10076,Benign,0x22b4046e4000 , 0x8397305  , 0x4000
10076,Benign,0x22b404704000 , 0x839b305  , 0x2000
10076,Benign,0x22b4047cc000 , 0x839d305  , 0x4000
10076,Benign,0x22b404801000 , 0x83a1305  , 0x1000
10076,Benign,0x22b404898000 , 0x83a2305  , 0xe000
10076,Benign,0x22b404994000 , 0x83b0305  , 0xe000
10076,Benign,0x22b404a01000 , 0x83be305  , 0x1000
10076,Benign,0x22b404a8c000 , 0x83bf305  , 0x6000
10076,Benign,0x22b404ab8000 , 0x83c5305  , 0xf000
10076,Benign,0x22b404b48000 , 0x83d4305  , 0xc000
10076,Benign,0x22b404b70000 , 0x83e0305  , 0xc000
10076,Benign,0x22b404c01000 , 0x83ec305  , 0x1000
10076,Benign,0x22b404c0c000 , 0x83ed305  , 0x28000
10076,Benign,0x22b404c50000 , 0x8415305  , 0x28000
10076,Benign,0x22b404cdc000 , 0x843d305  , 0x4000
10076,Benign,0x22b404d08000 , 0x8441305  , 0x3000
10076,Benign,0x22b404d14000 , 0x8444305  , 0x4000
10076,Benign,0x22b404d1c000 , 0x8448305  , 0x8000
10076,Benign,0x22b404d2c000 , 0x8450305  , 0x8000
10076,Benign,0x22b404d68000 , 0x8458305  , 0x4000
10076,Benign,0x22b404d9c000 , 0x845c305  , 0xb000
10076,Benign,0x22b404dbc000 , 0x8467305  , 0x7000
10076,Benign,0x22b404dc4000 , 0x846e305  , 0xd000
10076,Benign,0x22b404dd4000 , 0x847b305  , 0x8000
10076,Benign,0x22b404de4000 , 0x8483305  , 0x10000
10076,Benign,0x22b404e01000 , 0x8493305  , 0x1000
10076,Benign,0x22b404e6c000 , 0x8494305  , 0x6000
10076,Benign,0x22b404e7c000 , 0x849a305  , 0x7000
10076,Benign,0x22b404e9c000 , 0x84a1305  , 0x18000
10076,Benign,0x22b404eb8000 , 0x84b9305  , 0x4000
10076,Benign,0x22b404ec8000 , 0x84bd305  , 0xa000
10076,Benign,0x22b404ed4000 , 0x84c7305  , 0x7000
10076,Benign,0x22b404edc000 , 0x84ce305  , 0xa000
10076,Benign,0x22b404ef0000 , 0x84d8305  , 0xb000
10076,Benign,0x22b404f04000 , 0x84e3305  , 0x7000
10076,Benign,0x22b404f0c000 , 0x84ea305  , 0xb000
10076,Benign,0x22b404f18000 , 0x84f5305  , 0xa000
10076,Benign,0x22b404f2c000 , 0x84ff305  , 0x6000
10076,Benign,0x22b404f38000 , 0x8505305  , 0x1000
10076,Benign,0x22b404f40000 , 0x8506305  , 0x1000
10076,Benign,0x22b404f44000 , 0x8507305  , 0x5000
10076,Benign,0x22b404f4c000 , 0x850c305  , 0x13000
10076,Benign,0x22b404fc8000 , 0x851f305  , 0x1000
10076,Benign,0x22b405001000 , 0x8520305  , 0x1000
10076,Benign,0x22b4050ec000 , 0x8521305  , 0x6000
10076,Benign,0x22b4050f4000 , 0x8527305  , 0x5000
10076,Benign,0x22b405114000 , 0x852c305  , 0x4000
10076,Benign,0x22b405120000 , 0x8530305  , 0x4000
10076,Benign,0x22b405128000 , 0x8534305  , 0x3000
10076,Benign,0x22b405134000 , 0x8537305  , 0x1000
10076,Benign,0x22b40513c000 , 0x8538305  , 0x4000
10076,Benign,0x22b405164000 , 0x853c305  , 0x3000
10076,Benign,0x22b405168000 , 0x853f305  , 0x1000
10076,Benign,0x22b40516c000 , 0x8540305  , 0x2000
10076,Benign,0x22b405178000 , 0x8542305  , 0x2000
10076,Benign,0x22b40517c000 , 0x8544305  , 0x7000
10076,Benign,0x22b405184000 , 0x854b305  , 0x7000
10076,Benign,0x22b40518c000 , 0x8552305  , 0x2000
10076,Benign,0x22b4051b0000 , 0x8554305  , 0x10000
10076,Benign,0x22b4051ec000 , 0x8564305  , 0xe000
10076,Benign,0x22b405201000 , 0x8572305  , 0x1000
10076,Benign,0x22b4053cc000 , 0x8573305  , 0x7000
